129.1212392,122.1217208,111.9927144,99.07571342,80.86046242,61.26954329,44.58388995,29.83306928,19.09756566
134.1580646,130.1022231,122.6976244,112.0053655,95.83541341,76.75530095,58.8837925,41.86272468,28.41419258
136.3526606,135.3660738,131.0544464,123.207292,110.0293662,92.71464401,74.7448025,56.25161489,40.36834583
135.64567,137.643143,136.5662308,131.9742513,122.4801729,108.0938275,91.28672076,72.46641782,54.83320008
132.1607185,136.8659957,138.933563,137.7575151,132.3020077,121.7552468,107.3825118,89.60491013,71.29735415
126.1836003,133.1680546,138.0796481,140.2239155,138.7928304,132.6221886,121.787151,106.4638726,88.84702003
118.126973,126.8604991,134.1490557,139.2857622,141.5181691,139.8235546,133.3027933,121.678642,106.2300534
108.4861823,118.3925651,127.4819377,135.1003665,140.3573541,142.810801,140.9485757,133.9118299,122.0017784
97.79233852,108.3017992,118.5691281,128.0410977,135.5059153,141.425197,144.1006888,142.0535694,134.729487
86.5682773,97.1614148,107.9958179,118.6462878,127.4363344,135.904561,142.5747489,145.3904734,143.2139672
75.29179623,85.53129121,96.38221453,107.5550938,116.8266662,126.831685,136.6360081,143.7072729,146.6791546
64.36889885,73.91764499,84.32882416,95.44027735,104.4711775,115.0381621,126.939425,137.3016979,144.8878469
54.11804579,62.74440221,72.37214251,82.94688602,91.18840102,101.4845423,114.4163297,126.9142153,138.1602121
44.76489023,52.33723661,60.95410163,70.64350985,77.74011989,87.13944895,100.1336104,113.5932779,127.2962613
36.44585035,42.91946002,50.40615127,58.98980237,64.77070432,72.87692389,85.15335011,98.52858025,113.425785
29.21821958,34.61767451,40.94676375,48.32097504,52.77119235,59.40452291,70.41626765,82.88713827,97.82311149
62.232731,48.85060192,36.39623543,25.52761038,14.18689302,6.938975287,3.416972786,1.463339173,0.618412706
74.86130169,60.89420049,47.20330779,34.60430074,20.76525857,11.07078245,5.872167052,2.737333019,1.249717332
87.72067206,73.80189753,59.39792957,45.40846603,29.26738891,16.91494188,9.627211493,4.863830183,2.390916276
100.2037939,87.03605456,72.58264105,57.73482791,39.76487211,24.78059528,15.07766343,8.22121054,4.337249869
111.6667151,99.95689646,86.20311167,71.19117146,52.13624439,34.85159009,22.58730164,13.23779129,7.471645489
121.486792,111.8762638,99.58524903,85.20805724,66.03039895,47.10915784,32.4068534,20.33348377,12.24055309
129.1212392,122.1217208,111.9927144,99.07571342,80.86046242,61.26954329,44.58388995,29.83306928,19.09756566
134.1580646,130.1022231,122.6976244,112.0053655,95.83541341,76.75530095,58.8837925,41.86272468,28.41419258
136.3526606,135.3660738,131.0544464,123.207292,110.0293662,92.71464401,74.7448025,56.25161489,40.36834583
135.64567,137.643143,136.5662308,131.9742513,122.4801729,108.0938275,91.28672076,72.46641782,54.83320008
132.1607185,136.8659957,138.933563,137.7575151,132.3020077,121.7552468,107.3825118,89.60491013,71.29735415
126.1836003,133.1680546,138.0796481,140.2239155,138.7928304,132.6221886,121.787151,106.4638726,88.84702003
118.126973,126.8604991,134.1490557,139.2857622,141.5181691,139.8235546,133.3027933,121.678642,106.2300534
108.4861823,118.3925651,127.4819377,135.1003665,140.3573541,142.810801,140.9485757,133.9118299,122.0017784
97.79233852,108.3017992,118.5691281,128.0410977,135.5059153,141.425197,144.1006888,142.0535694,134.729487
86.5682773,97.1614148,107.9958179,118.6462878,127.4363344,135.904561,142.5747489,145.3904734,143.2139672
75.29179623,85.53129121,96.38221453,107.5550938,116.8266662,126.831685,136.6360081,143.7072729,146.6791546
64.36889885,73.91764499,84.32882416,95.44027735,104.4711775,115.0381621,126.939425,137.3016979,144.8878469
54.11804579,62.74440221,72.37214251,82.94688602,91.18840102,101.4845423,114.4163297,126.9142153,138.1602121
